Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2018,793,670592,670592,Port Melbourne,Prixcar Services Pty Ltd,5211,Stevedoring Services,144.9004092,-37.83554811,"(-37.83554811, 144.9004092)"
2018,791,110497,110496,Port Melbourne,Intertek,6925,Scientific Testing and Analysis Services,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111216,110496,Port Melbourne,Vacant,0,Vacant Space,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111416,110496,Port Melbourne,ACS,6923,Engineering Design and Engineering Consulting Services,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111216,110496,Port Melbourne,Vacant,0,Vacant Space,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111417,110496,Port Melbourne,Vacant,0,Vacant Space,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,110498,110496,Port Melbourne,Yamaha City,9419,Other Automotive Repair and Maintenance,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,110499,110496,Port Melbourne,Nelson Bros Funeral Services Pty Ltd,9520,"Funeral, Crematorium and Cemetery Services",144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111217,110496,Port Melbourne,Lancemore Group,4400,Accommodation,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111217,110496,Port Melbourne,Gilmores,7320,Packaging Services,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111422,110496,Port Melbourne,DJ Warehouse,6639,Other Goods and Equipment Rental and Hiring n.e.c.,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111418,110496,Port Melbourne,Smokin' Barrys,4513,Catering Services,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,111421,110496,Port Melbourne,Thrust Maritime,6631,Heavy Machinery and Scaffolding Rental and Hiring,144.9012645,-37.82998456,"(-37.82998456, 144.9012645)"
2018,791,560362,560362,Port Melbourne,Vacant,0,Vacant Space,144.9013768,-37.83106466,"(-37.83106466, 144.9013768)"
2018,791,559377,559377,Port Melbourne,Vacant,0,Vacant Space,144.9016815,-37.82937965,"(-37.82937965, 144.9016815)"
2018,791,560353,559378,Port Melbourne,Doyle  Sailmaker,1333,Cut and Sewn Textile Product Manufacturing,144.9017936,-37.82997653,"(-37.82997653, 144.9017936)"
2018,791,560354,559378,Port Melbourne,Clamp Electrical Industries Pty Ltd,2439,Other Electrical Equipment Manufacturing,144.9017936,-37.82997653,"(-37.82997653, 144.9017936)"
