Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,x coordinate,y coordinate,Location
2018,2,111467,103973,Melbourne (CBD),Sea Life Melbourne Aquarium,8921,Zoological and Botanical Gardens Operation,144.9594961,-37.82059787,"(-37.82059787, 144.9594961)"
2018,355,101921,101921,North Melbourne,Bell Partnerships,6419,Other Auxiliary Finance and Investment Services,144.9519761,-37.80496639,"(-37.80496639, 144.9519761)"
2018,355,101921,101921,North Melbourne,Melbourne Natural Medicine Clinic,8539,Other Allied Health Services,144.9519761,-37.80496639,"(-37.80496639, 144.9519761)"
2018,91,105464,105464,West Melbourne (Residential),Computer Troubleshooters,9422,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maint,144.9515889,-37.81287865,"(-37.81287865, 144.9515889)"
2018,775,110525,110525,Port Melbourne,Colonial Leisure Group,4511,Cafes and Restaurants,144.9344121,-37.8230429,"(-37.8230429, 144.9344121)"
2018,91,105464,105464,West Melbourne (Residential),Harkess-Ord,6924,Other Specialised Design Services,144.9515889,-37.81287865,"(-37.81287865, 144.9515889)"
2018,91,105464,105464,West Melbourne (Residential),Minuteman Press,1611,Printing,144.9515889,-37.81287865,"(-37.81287865, 144.9515889)"
2018,91,105464,105464,West Melbourne (Residential),Harkess-Ord,6924,Other Specialised Design Services,144.9515889,-37.81287865,"(-37.81287865, 144.9515889)"
2018,240,104466,104466,Carlton,The Bio 21 Cluster,6910,Scientific Research Services,144.9592806,-37.80023252,"(-37.80023252, 144.9592806)"
2018,240,104466,104466,Carlton,The University of Melbourne,8102,Higher Education,144.9592806,-37.80023252,"(-37.80023252, 144.9592806)"
2018,240,104466,104466,Carlton,Baretto Cafe,4511,Cafes and Restaurants,144.9592806,-37.80023252,"(-37.80023252, 144.9592806)"
2018,240,104466,104466,Carlton,The Co-Op Bookstore,4244,Newspaper and Book Retailing,144.9592806,-37.80023252,"(-37.80023252, 144.9592806)"
